StationName,Latitude,Longitude,StartYear,EndYear,NormalValue.Element,NormalValue.ValueOnJanuary,NormalValue.ValueOnFebruary,NormalValue.ValueOnMarch,NormalValue.ValueOnApril,NormalValue.ValueOnMay,NormalValue.ValueOnJune,NormalValue.ValueOnJuly,NormalValue.ValueOnAugust,NormalValue.ValueOnSeptember,NormalValue.ValueOnOctober,NormalValue.ValueOnNovember,NormalValue.ValueOnDecember
LOEI AGROMET.,17.4,101.733,1981,2010,Mean Dry-bulb Temperature,21.225,24.058,26.642,27.795,26.91,27.72,27.31,26.68,26.2,25.4,22.92,21.35
LOEI AGROMET.,17.4,101.733,1981,2010,Mean Relative Humidity,73.975,69.702,67.989,74.88,84.03,82.76,83.41,86.29,88.24,87.11,80.38,78.71
LOEI AGROMET.,17.4,101.733,1981,2010,Total Rainfall,5.461,17.793,49.213,102.21,190.57,161.9,146.67,175.62,237.26,136.61,18.13,6.19
UDON THANI,17.383,102.8,1981,2010,Mean Station Pressure,1000.237,998.667,999.272,1000.755,1000.86,999.52,1000.56,1000.61,1000.41,999.39,997.76,997.99
UDON THANI,17.383,102.8,1981,2010,Mean MSL Pressure,1013.989,1011.629,1009.347,1007.595,1006.36,1004.9,1004.81,1004.98,1007.46,1010.6,1013.14,1015.08
UDON THANI,17.383,102.8,1981,2010,Mean Maximum Temperature,30.044,32.464,34.934,36.282,34.42,33.19,32.61,32.01,31.93,31.61,30.73,29.11
UDON THANI,17.383,102.8,1981,2010,Mean Minimum Temperature,16.513,18.888,21.853,24.374,24.78,25.04,24.88,24.59,24.2,22.88,19.75,16.35
UDON THANI,17.383,102.8,1981,2010,Mean Dry-bulb Temperature,22.849,25.273,28.008,29.837,28.91,28.57,28.23,27.8,27.62,26.91,24.92,22.37
UDON THANI,17.383,102.8,1981,2010,Mean Relative Humidity,64.979,62.839,60.115,63.285,74.01,77.68,78.35,80.96,81.13,75.91,68.89,66.31
UDON THANI,17.383,102.8,1981,2010,Total Rainfall,6.297,22.007,49.703,74.127,198.52,229.04,210.93,285.13,239.47,90.08,10.3,2.91
SAKON NAKHON,17.15,104.133,1981,2010,Mean Station Pressure,1000.788,999.677,999.177,1000.27,999.54,1000.98,1000.8,1000.83,999.47,999.07,998.26,998.97
SAKON NAKHON,17.15,104.133,1981,2010,Mean MSL Pressure,1014.729,1012.447,1010.141,1008.296,1006.97,1005.48,1005.33,1005.44,1007.87,1011,1013.6,1015.64
SAKON NAKHON,17.15,104.133,1981,2010,Mean Maximum Temperature,29.178,31.318,33.702,35.076,33.52,32.47,31.88,31.4,31.4,31.08,30.3,28.6
SAKON NAKHON,17.15,104.133,1981,2010,Mean Minimum Temperature,16.321,19.028,22.05,24.461,24.89,25.19,24.94,24.65,24.22,22.61,19.41,16.11
SAKON NAKHON,17.15,104.133,1981,2010,Mean Dry-bulb Temperature,22.147,24.469,27.234,29.094,28.42,28.12,27.74,27.37,27.22,26.36,24.37,21.86
SAKON NAKHON,17.15,104.133,1981,2010,Mean Relative Humidity,66.542,65.239,62.533,66.211,76.48,80.42,81.74,84.16,82.66,76.44,70.16,68.1
SAKON NAKHON,17.15,104.133,1981,2010,Total Rainfall,4.685,29.271,57.493,93.27,227.64,266.77,288.7,357.87,224.75,76.85,11.95,5.59
